Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite,Chrome 100.0.4896.127,,,2022-05-04 16:42:41,2022-05-04 16:42:59,18.460s,PASSED
,,,,,,,
Test Cases/Demo1/RecordMode _Demo,Chrome 100.0.4896.127,,,2022-05-04 16:42:41,2022-05-04 16:42:59,18.168s,PASSED
"openBrowser("""")",Chrome 100.0.4896.127,,,2022-05-04 16:42:41,2022-05-04 16:42:44,2.529s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 100.0.4896.127,,,2022-05-04 16:42:44,2022-05-04 16:42:50,5.993s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 100.0.4896.127,,,2022-05-04 16:42:50,2022-05-04 16:42:51,0.929s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 100.0.4896.127,,,2022-05-04 16:42:51,2022-05-04 16:42:52,0.897s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 100.0.4896.127,,,2022-05-04 16:42:52,2022-05-04 16:42:52,0.478s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 100.0.4896.127,,,2022-05-04 16:42:52,2022-05-04 16:42:53,1.012s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 100.0.4896.127,,,2022-05-04 16:42:53,2022-05-04 16:42:54,1.136s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 100.0.4896.127,,,2022-05-04 16:42:54,2022-05-04 16:42:55,0.354s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 100.0.4896.127,,,2022-05-04 16:42:55,2022-05-04 16:42:55,0.387s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 100.0.4896.127,,,2022-05-04 16:42:55,2022-05-04 16:42:56,0.417s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_14""))",Chrome 100.0.4896.127,,,2022-05-04 16:42:56,2022-05-04 16:42:56,0.490s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Appointment done"")",Chrome 100.0.4896.127,,,2022-05-04 16:42:56,2022-05-04 16:42:57,0.823s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 100.0.4896.127,,,2022-05-04 16:42:57,2022-05-04 16:42:58,0.650s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 100.0.4896.127,,,2022-05-04 16:42:58,2022-05-04 16:42:58,0.356s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 100.0.4896.127,,,2022-05-04 16:42:58,2022-05-04 16:42:59,0.704s,PASSED
closeBrowser(),Chrome 100.0.4896.127,,,2022-05-04 16:42:59,2022-05-04 16:42:59,0.725s,PASSED
